Sun Dec 17 00:27:02 +0000 2017,"London, England",,": Time and time again......desire, drive, intensity, mentality, resilience, determination, hunger, focus, relentless."
Sun Dec 17 00:27:03 +0000 2017,"Birmingham, England",,Poor menz
Sun Dec 17 00:27:04 +0000 2017,"California, USA",,NEW VIDEO IS UP! NOOO NOT THE WHITE SHOES! and poor bird WATCH IT! Ily / DM? x6
Sun Dec 17 00:27:04 +0000 2017,Argyll  United Kingdom,,"Poor little guy....I know he was OK in the end but that face as he hanging on, heartbreaking."
Sun Dec 17 00:27:04 +0000 2017,"P-ville, USA",,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:27:04 +0000 2017,"Sacramento, CA",,": WEIRD RICH ,NORMAL POOR! I get fired up by doing things I know other people arent willing to"
Sun Dec 17 00:27:05 +0000 2017,"Los Angeles, CA",,": / New Orleans judges routinely impose fines, court fees and costs without taking into"
Sun Dec 17 00:27:07 +0000 2017,Thailand,,: Poor liner and They did it again made it worst! fo
Sun Dec 17 00:27:09 +0000 2017,18. reylo.,,: My poor baby
Sun Dec 17 00:27:10 +0000 2017,+60 Dujun's Hearteu ,,: Poor liner and They did it again made it worst! fo
Sun Dec 17 00:27:11 +0000 2017,Home,,: Poor Louis Tomlinson cant control over his mouth I mean the lyrics is cause I cant compete with your boyfriend
Sun Dec 17 00:27:12 +0000 2017,"Bella Vista, AR",,Poor?
Sun Dec 17 00:27:17 +0000 2017, NY Van down by the River,,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:27:17 +0000 2017,Seattle,,: A UN eert on deprivation wants to know why MILLION Americans are living in poverty. Also fact: U.S. has more
Sun Dec 17 00:27:17 +0000 2017,"Wherever My Bike Takes Me, NC",,: This! I grew up very poor. I put myself through college. Now I have a career & make d
Sun Dec 17 00:27:18 +0000 2017,"47.63243,-122.309517",,": Democrats need to spend every day up until the vote showing how this bill hurts the poor, our children, our familie"
Sun Dec 17 00:27:18 +0000 2017,United States,,: US soccer doesnt invest meaningful resources into poor communities or communities of color & thus the sport contin
Sun Dec 17 00:27:18 +0000 2017,"Los Angeles, CA",,": / The resurgence of debtors prisons across US entraps poor people, too many of whom"
Sun Dec 17 00:27:19 +0000 2017,london,,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:27:19 +0000 2017,"Kota Surabaya, Jawa Timur",,WE NEED ON ANDROID TOO!! I am poor swiftie asian who was doesn't have an 0
