Sun Dec 17 00:47:41 +0000 2017,SEK,Texas,Lol... it's all good. Just making sure but if you can win at north Texas like he has with a poor hist
Sun Dec 17 00:47:42 +0000 2017,"Pretoria, South Africa",,: South African celebrities: Support local!! Also South African celebrities: HAHAHAHAHA! You're all so poor euw
Sun Dec 17 00:47:42 +0000 2017,"Irvine, CA",,"The disorder you are describing is called ""Cinema-Masochism"". A sickness that doesn't defy logic, b"
Sun Dec 17 00:47:42 +0000 2017,"Tucson, AZ",,"Bitch, Im poor too. I already have all the songs you released tho. I will settle for a taco and a feature on your next album."
Sun Dec 17 00:47:43 +0000 2017,NYC,,: My friend and colleague Wa Lone (pictured) co-founded a charity that distributed free books to poor Myanma
Sun Dec 17 00:47:43 +0000 2017,south parkway,,: Poor things
Sun Dec 17 00:47:44 +0000 2017,she/her,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:47:47 +0000 2017,United States,,: What the heck is wrong with our government? Why is beginning to feel like the poor pe
Sun Dec 17 00:47:50 +0000 2017,pansexual trans guy (he/him),,: oh diddums why must mummy n daddy be so rich!!!! why cant a have ALL the poor people money?!?!! filthy peasa
Sun Dec 17 00:47:51 +0000 2017,Earth,,"Lol, Ana! I think they also forgot: Black, woman, veteran, handicap, homeless, elephant, working poor,"
Sun Dec 17 00:47:51 +0000 2017,"Texas, USA",,How Tariffs and Regressive Trade Policies Hurt the Poor
Sun Dec 17 00:47:51 +0000 2017,"Atlanta, GA",,: Margaret Sanger (18791966) worked as a nurse among poor women on New York Citys Lower East Side and became an adv
Sun Dec 17 00:47:52 +0000 2017,"Pittsford, NY",,: Prayer creates hunger for souls. Hunger for souls creates prayer. -Leonard Ravenhill
Sun Dec 17 00:47:52 +0000 2017,"NUI Galway, Galway, Ireland",,": With million impoverished annually due to health costs, represents the frontline in the battle for https://t."
Sun Dec 17 00:47:52 +0000 2017,"arizona, earth",,this applies to being surrounded by a poor family too 0
Sun Dec 17 00:47:53 +0000 2017,"Maine, USA",,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:47:54 +0000 2017,NYC,,: A UN eert on deprivation wants to know why MILLION Americans are living in poverty. Also fact: U.S. has more
Sun Dec 17 00:47:54 +0000 2017,Not tellin' y'all where I'm at,,": ""Famine never happens out of the blue."" - On the worsening drought & potential famine in :"
Sun Dec 17 00:47:53 +0000 2017,CALIDAHO,,downs -59 to break out of the three-game slump and improve to -3 on the year. Those poor Jaguars hav
Sun Dec 17 00:47:55 +0000 2017,London,,Sicko father and mother. Poor girls. Didnt have a chance in life to turn down the murderous choice.
Sun Dec 17 00:47:55 +0000 2017,"Pointe-Noire, Congo",,Poor performance of the referees in the game.
Sun Dec 17 00:47:55 +0000 2017,heck,,and so all the bumble is good for is putting stars on a christmas tree and the poor monster can chew or eat without
Sun Dec 17 00:47:56 +0000 2017,"Tennessee, USA",,: US soccer doesnt invest meaningful resources into poor communities or communities of color & thus the sport contin
Sun Dec 17 00:47:59 +0000 2017,"Scotland, United Kingdom",,: You don't want external bodies sorting through your poor investigation process and putting all your dirty washing o
Sun Dec 17 00:48:00 +0000 2017,BCD,,": People often claim to hunger for truth, but seldom like the taste when its served up. George R.R. Martin, A Clash"
Sun Dec 17 00:48:03 +0000 2017,The British Isles,,":: Northwest or , occ at first, bcmng var , then bcmng SW to ltr. Shwrs, then rain ltr. Gd, occ poor ltr."
Sun Dec 17 00:48:03 +0000 2017,India,,: You just said! Ye toh hina se badi hypocrite nikli MULTIPLE SHOCKS! Poor kid
Sun Dec 17 00:48:03 +0000 2017,The British Isles,,":: South veering NW, to , prhps gale ltr, but var at first. Rain then Shwrs. Gd occ poor."
Sun Dec 17 00:48:03 +0000 2017,The British Isles,,":: Northwest, backing S for a time, or , incr or , prhps gale ltr. Wintry Shwrs, rain ltr. Gd occ poor."
Sun Dec 17 00:48:03 +0000 2017,The British Isles,,":: West or NW, backing SW for a time, or , occ ltr. Shwrs, rain ltr. Gd occ poor."
Sun Dec 17 00:48:04 +0000 2017,The British Isles,,":: Northwest backing SW or , occ . Shwrs, rain ltr. Gd occ poor."
Sun Dec 17 00:48:04 +0000 2017,The British Isles,,"NW or , backing S to gale , then veering NW ltr.: Shwrs then rain.: Gd occ poor."
Sun Dec 17 00:48:04 +0000 2017,"Capeside, MA",,Poor Jack
Sun Dec 17 00:48:04 +0000 2017,United States,,The sheep cannot read ? Just blindly follow your leaders to destroy the middle class and the poor. Shameful
Sun Dec 17 00:48:07 +0000 2017,"Anniston, AL",,Because I've never been (poor sucks) and am apart of some amazing fandoms. Would love to be able to tell these acto
Sun Dec 17 00:48:07 +0000 2017,san junipero,,im gay but i hate poor people
Sun Dec 17 00:48:07 +0000 2017,"Henderson, NV",,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:48:07 +0000 2017,"El Golf, Las Condes, Chile",,": ""A developed country is not a place where the poor have cars. It's where the rich use public transportation."" the ex mayor of Bo"
Sun Dec 17 00:48:10 +0000 2017,"England, United Kingdom",,So happy and pleased Homer is going to be ok. Poor little guy. I hope he has a merry Christmas and U
Sun Dec 17 00:48:10 +0000 2017,India,,: year old women who built a for poor people by selling vegetables. No treatment costs more than Rs an
Sun Dec 17 00:48:11 +0000 2017,Across the Derbyshire Dales ,,: Poor is having a tantrum about the UK being bound to EU rules during the 'transitional period'.
Sun Dec 17 00:48:12 +0000 2017,"Winter Park, FL",,: There is no other developed country where so many voters are disenfranchised and where so few poor voters even car
Sun Dec 17 00:48:13 +0000 2017,Malaysia,,Why???? Poor Jennie.
Sun Dec 17 00:48:13 +0000 2017,Cali --to-- AZ ,,: Well poor mouse
Sun Dec 17 00:48:13 +0000 2017,"North Carolina, USA",,We would rather the poor and POC destroy their brains and bodies playing american football instead s
Sun Dec 17 00:48:13 +0000 2017,"Tempe, AZ",,: The ground is poor life decisions d
Sun Dec 17 00:48:14 +0000 2017,"Global (based in Ankeveen, NL)",,: Starting today you are no longer allowed to use these words when praying or tweeting at Me: Poor Sick Help Compa
Sun Dec 17 00:48:15 +0000 2017,threeoneseven,,From the far east & deff gon have to test this one them niggas all broke & petty lmfaooooooooooooo 0
Sun Dec 17 00:48:17 +0000 2017,tx,,Im too poor for supreme
Sun Dec 17 00:48:18 +0000 2017,Hell,,"When I see white folk giving away stuff to poor black folk around Christmas, I feel a way"
Sun Dec 17 00:48:18 +0000 2017,"Land O'Lakes, FL",,RevoltPolitic: Margaret Sanger (18791966) worked as a nurse among poor women on New York Citys Lower East Side an
Sun Dec 17 00:48:18 +0000 2017,"oklahoma / BLM, MMIW",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:19 +0000 2017,TEXAS #ImWithAbbott ,,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:48:20 +0000 2017,"Seattle, WA",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:20 +0000 2017,Camp Crystal Lake,,"Dude, this one Niles/M!Corrin smut I read was the steamiest shit ever. Poor babby Niles, tho."
Sun Dec 17 00:48:21 +0000 2017,"Quartu Sant'Elena, Sardegna",,Focus on improving your first and foremost! Poor mindset will result in poor results! 9
Sun Dec 17 00:48:22 +0000 2017,Ireland,,poor Alberto
Sun Dec 17 00:48:22 +0000 2017,Indonesia,,: Poor liner and They did it again made it worst! fo
Sun Dec 17 00:48:24 +0000 2017,yo nigga house,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:25 +0000 2017,the kingdom of kerry,,Ruth is climate change in a pseudo human form ..... must be the only crowd to ever take the poor aul gal serio
Sun Dec 17 00:48:26 +0000 2017,Long Island NY,,": Poor sweet baby, I cannot stand to see any animal suffering, Plz Get Medical Help For This Dog, Begging For Mercy,"
Sun Dec 17 00:48:26 +0000 2017,"Orlando, FL",,The rich get richer and the poor get poorer ' touts tax reform as he leaves for Camp David' Happy
Sun Dec 17 00:48:28 +0000 2017,"Savannah, GA",,": Remember that fascism has a vested interest in climate change. More scarcity, poverty, desperation, refugees. More"
Sun Dec 17 00:48:28 +0000 2017,Glaring at Monitors,,": Meanwhile, as the GOP whines about the poor, poor billionaires who have to suffer with only one French villa.... A"
Sun Dec 17 00:48:29 +0000 2017,415,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:29 +0000 2017,United States,,: Check out Spirit Hunger on The Prolific Reader! https
Sun Dec 17 00:48:29 +0000 2017,NJ || Philadelphia || NYC,,Poor kid asked a flight attendant to help him because he missed his flight. at DFW and she showed
Sun Dec 17 00:48:29 +0000 2017,"Sydney, Australia",,: Good to hear. I myself was too poor to stay at school past year . But returned to Uni at age . Now a ps
Sun Dec 17 00:48:30 +0000 2017,"Boston, MA",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:31 +0000 2017,"Tampa Bay, FL",,Watch: Bucs Sack Hunger and Stack Toys This Holiday Season
Sun Dec 17 00:48:35 +0000 2017,"District of Columbia, USA",,: The is just beautiful as long as you aren't the poor sap living on the bottom % of the tree.
Sun Dec 17 00:48:35 +0000 2017,"Woonsocket, RI",,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:48:36 +0000 2017,Newarlanz,,: Well poor mouse
Sun Dec 17 00:48:36 +0000 2017,brooklyn,,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:48:37 +0000 2017,"BERTHIERVILLE,canada",,Bortuzzo AGAIN falling on poor Hutton smh lol
Sun Dec 17 00:48:38 +0000 2017,Denver,,Poor Kona.
Sun Dec 17 00:48:38 +0000 2017,Jamaica. ,,My friends been partying with me since my birthday on Thursday... NON STOP... poor dem nuh kno it nah done till tom
Sun Dec 17 00:48:39 +0000 2017,"Minnesota, USA",,"""Poor"" Roy. Doesn't understand that if he HADN'T grabbed all those tweenage ""taints"", he mighta got elected. NOT!!"
Sun Dec 17 00:48:40 +0000 2017,"Windsor, ON",,: US soccer doesnt invest meaningful resources into poor communities or communities of color & thus the sport contin
Sun Dec 17 00:48:44 +0000 2017,"Pullman, Washington, USA",,: downs -59 to break out of the three-game slump and improve to -3 on the year. Those poor Jaguars hav
Sun Dec 17 00:48:44 +0000 2017,Mi,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:44 +0000 2017,"Warrenton, VA",Colorado,Look at the poor results from legalization in Colorado...
Sun Dec 17 00:48:44 +0000 2017,Salmon Bay,,"""O-Okay."" Delsin will do all the work, just to save Dick's poor bottom."
Sun Dec 17 00:48:46 +0000 2017,"Clark County, Nevada, US",,"and that followed many, many doozies of poor decisions."
Sun Dec 17 00:48:46 +0000 2017,"New York, NY",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:48:49 +0000 2017,"Tampa, FL",,Poor Jessie didnt stand a chance agaisnt
Sun Dec 17 00:48:53 +0000 2017,Buenos Aires,,I want to congratulate you and kim for all the efforts that make for the homeless and the poor! Thank you v
Sun Dec 17 00:48:54 +0000 2017,Bucyrus Ohio,,poor woman losing her crush she had hopes of dumping Jared while he was in prison and grabbing a princ
Sun Dec 17 00:48:55 +0000 2017,,Alabama,"MAGA, in Alabama. But, tax cuts for the wealthy and $1.4 trillion added to the deficit. D"
Sun Dec 17 00:48:55 +0000 2017,"Port Royal, FL",,Last time I checked you werent exactly poor yourself
Sun Dec 17 00:48:56 +0000 2017,"Cambridge, MA",,": / New Orleans judges routinely impose fines, court fees and costs without taking into"
Sun Dec 17 00:48:57 +0000 2017,"Dublin City, Ireland",,Ahhh poor little fucker.. hahahahaha
Sun Dec 17 00:49:00 +0000 2017,"Illinois, USA",,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:49:00 +0000 2017,,Somalia,": Poverty, corruption, famine, bad governance in Somalia And diaspora Somalis are busy debating whether we are anti"
Sun Dec 17 00:49:00 +0000 2017,Candle Cove,,If Vow of poverty by Secret Cutter isnt playing when my child is born I want a refund
Sun Dec 17 00:49:01 +0000 2017,Canada,,There simply happens to be a higher ratio of poor to average in the black community. Yes
Sun Dec 17 00:49:03 +0000 2017,Shawnee ks,,Poor guy!
Sun Dec 17 00:49:05 +0000 2017,"Rio de Janeiro, Brasil",,: Margaret Sanger (18791966) worked as a nurse among poor women on New York Citys Lower East Side and became an adv
Sun Dec 17 00:49:05 +0000 2017,"Puerto Rico, USA",Australia,": : Therell never be Sharia law in Australia, you bigots. Youre all just paranoid racists. Theyre just poor r"
Sun Dec 17 00:49:05 +0000 2017,Ohio,Washington,": US lawmakers are redistributing income from the poor to the rich, according to massive new study - Washington Post"
Sun Dec 17 00:49:05 +0000 2017,"Atlanta, GA",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:49:05 +0000 2017,"Hartpury, England",,: This PISSES me off. Just because my mummy & daddy go to work and work their fucking arses off for their well earn
Sun Dec 17 00:49:06 +0000 2017,"Austin TX, UT18",,: oh diddums why must mummy n daddy be so rich!!!! why cant a have ALL the poor people money?!?!! filthy peasa
Sun Dec 17 00:49:08 +0000 2017,United Kingdom,,: Poor Pam d
Sun Dec 17 00:49:08 +0000 2017,"Washington, DC",,What a disgrace. Taking from the poor and middle class to provide more subsidies for the rich. At w
Sun Dec 17 00:49:09 +0000 2017,United States,,Margaret Sanger (18791966) worked as a nurse among poor women on New York Citys Lower East Side and became an adv
Sun Dec 17 00:49:09 +0000 2017,"Austin, TX",,my poor babys just been sleeping and laying around.
Sun Dec 17 00:49:11 +0000 2017,"Victoria, Australia",,Sookie and Freddie having a ball! So much excitement and play fighting. Poor Freddie was not too sure. Now they...
Sun Dec 17 00:49:13 +0000 2017,"Liverpool, England",,"ay man, its december. it gets cold out, leave the poor guy alone, mans not hot"
Sun Dec 17 00:49:13 +0000 2017,houstatlantavegas,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:49:15 +0000 2017,Up a bit and slightly left,,: Spare a thought for poor Nigel. This sad man is stuck in his multimillion pound townhouse after years trapped on
Sun Dec 17 00:49:16 +0000 2017,"Kitchener, Ontario",,We have pretty much everything off too. No one is home. Heat goes down
Sun Dec 17 00:49:16 +0000 2017,United States,,Poor Hillary can't get how trump kicked her ass
Sun Dec 17 00:49:18 +0000 2017,Peace of Mind,,": White Liberal: Black people are poor, uneducated, unemployed, and disenfranchised because of white supremacy. I hat"
Sun Dec 17 00:49:19 +0000 2017,Afrique du Sud,,: South African celebrities: Support local!! Also South African celebrities: HAHAHAHAHA! You're all so poor euw
Sun Dec 17 00:49:20 +0000 2017,"Sydney, New South Wales",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:49:22 +0000 2017,1-800-DID-IASK,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:49:23 +0000 2017,Me,,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:49:23 +0000 2017,chi ,,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:49:24 +0000 2017,Liberal USA.,,: Such a pile of crap by Rupert Murdoch's poor excuse for unbiased news. Should we remind you that trump won because
Sun Dec 17 00:49:24 +0000 2017,"Santiago, Chile",,": ""A developed country is not a place where the poor have cars. It's where the rich use public transportation."" the ex mayor of Bo"
Sun Dec 17 00:49:25 +0000 2017,UK,,: Spare a thought for poor Nigel. This sad man is stuck in his multimillion pound townhouse after years trapped on
Sun Dec 17 00:49:25 +0000 2017,Barbados,,"Other than Walker gone, not that much difference between the teams last year and this - we were v. poor today."
Sun Dec 17 00:49:25 +0000 2017,Nowhweresville ,,Hahaha poor mom watch her sneak and buy something when you arent with her though
Sun Dec 17 00:49:27 +0000 2017,Pullman,,: downs -59 to break out of the three-game slump and improve to -3 on the year. Those poor Jaguars hav
Sun Dec 17 00:49:28 +0000 2017,Pays Basque,,": By Poor Mans Laser Scanner Probably Wont Shoot Your Eye Out, Kid"
Sun Dec 17 00:49:29 +0000 2017,5 Pillar Hamlets,Australia,": : Therell never be Sharia law in Australia, you bigots. Youre all just paranoid racists. Theyre just poor r"
Sun Dec 17 00:49:32 +0000 2017,New York,,": Black families represent % of the poor portrayed in the media, but account for just % of Americans in poverty."
Sun Dec 17 00:49:34 +0000 2017,In your sweet dream,,: Why good employees leave: direct manager no career growth low salary poor communication meaningless projects n
Sun Dec 17 00:49:35 +0000 2017,Johannesburg,,"Mini hunger pangs, its almost am. Thank God for Nuts."
Sun Dec 17 00:49:35 +0000 2017,"North Carolina, USA",,You poor thing...so dillusional Please tell me one thing Obama di
Sun Dec 17 00:49:35 +0000 2017,Seaside Aberdeenshire,,": Fuckity night to those poor unfortunates who are down on their luck, except you Nigel Farage. Dont worry pal, Im"
Sun Dec 17 00:49:36 +0000 2017,"Bengaluru South, Karnataka",,: Capitalism is the political economy of artificial scarcity to perpetuate poverty .... Capitalism is the poverty of
Sun Dec 17 00:49:38 +0000 2017,Indiana University,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:49:40 +0000 2017,#LakeCountyCA,,"Rich or poor, running from fires & loosing possessions....it all hurts the same. I'm Clayton Fire People & rece"
Sun Dec 17 00:49:40 +0000 2017,net neutrality,,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:49:41 +0000 2017,dc,,will pay for this travesty! & will all pay for this attack on the poor & middle class.
Sun Dec 17 00:49:42 +0000 2017,countin bandz,,": I was born poor, but imma die rich ."
Sun Dec 17 00:49:43 +0000 2017,Texas,,: The is just beautiful as long as you aren't the poor sap living on the bottom % of the tree.
Sun Dec 17 00:49:44 +0000 2017,"Virginia, USA",,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:49:46 +0000 2017,170319 171029,,": Poor Wonpil, first the keyboard now the chair ... nothing can handle him tbh ah hhahao"
Sun Dec 17 00:49:47 +0000 2017,NY,,: A UN eert on deprivation wants to know why MILLION Americans are living in poverty. Also fact: U.S. has more
Sun Dec 17 00:49:47 +0000 2017,"Big Rapids, MI",,Poor in the back wanted in
Sun Dec 17 00:49:48 +0000 2017,"Los Angeles, CA",,Raising to purchase warm clothes for poor people. Raised 5675 so far. Help us by donating to
Sun Dec 17 00:49:49 +0000 2017,"Lahore, Pakistan",,It's been a great weekend thus far. More generosity from our UK friends means more for the poor children and villa
Sun Dec 17 00:49:52 +0000 2017,Seattle,,": Please take a look at and support. Johns don't give a shit about women's circumstances, trafficked,"
Sun Dec 17 00:49:52 +0000 2017,"Las Vegas, NV",,: The pending tax bill is basically Republican piggery; another case of the rich man dancing while the poor man pays the ban
Sun Dec 17 00:49:54 +0000 2017,Edmonton,,": The only positives from today were the three points and zils moment of magic, apart from that it was very poor, an"
Sun Dec 17 00:49:55 +0000 2017,bay area,,: I just got goosebumps and I want to cry. THIS is EXACTLY why I RESUSE to take my child to a daycare or hire a sitt
Sun Dec 17 00:49:55 +0000 2017,Oklahoma,,": 'The poor I met from among the M living in poverty were overwhelmingly persons who had been born into poverty, or"
Sun Dec 17 00:49:55 +0000 2017,Getting ice cream,,": Thanks for the article. My poor year old is hoping kip isnt traded, will is working on a p"
Sun Dec 17 00:49:55 +0000 2017,Berkhamsted. Hertfordshire,,Hunger someone has to die out on the frozen wastes
Sun Dec 17 00:49:56 +0000 2017,"Perth, Australia",,You poor woman...
Sun Dec 17 00:49:58 +0000 2017,,Texas,So there is this guy in Texas who loves tax cuts and adding to the national debt. He said is doesn't
Sun Dec 17 00:50:00 +0000 2017,uk,,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:50:04 +0000 2017,"Bad Wildbad, Deutschland",,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:50:06 +0000 2017,Denmark,,: Poor braids
Sun Dec 17 00:50:07 +0000 2017,Japan,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:50:07 +0000 2017,United States,,": U R a gutless, spineless, poor representation of what it means to be an American/It would be nice if U found ten"
Sun Dec 17 00:50:09 +0000 2017,Ireland,,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:50:10 +0000 2017,Commonwealth of Pennsylvania,,: The polar bear depicted in a viral video was seemingly exhausted from hunger and was believed to be hours from deat
Sun Dec 17 00:50:10 +0000 2017,"Temple, TX",,": Stuff (higher education, health care) doesn't get priced so high that the middle class (as opposed to the poor) can"
Sun Dec 17 00:50:11 +0000 2017,uk,,"I think there's not much between them apart from wlad, but shows how poor both of their resumes are upto date"
Sun Dec 17 00:50:11 +0000 2017,Bangkok,,: My friend and colleague Wa Lone (pictured) co-founded a charity that distributed free books to poor Myanma
Sun Dec 17 00:50:12 +0000 2017,"Houston, TX",,Let's face facts these are just bad people who lack character. Ball Boys poor c
Sun Dec 17 00:50:12 +0000 2017,The Emerald City,,minutes I'll never get back. I was really looking forward to ...just couldn't do it. It was s 1
Sun Dec 17 00:50:15 +0000 2017,Cardiff,,: stopped me from going hungry as a child in poverty in Speke in the s. Thanks to him I got Xmas gifts
Sun Dec 17 00:50:15 +0000 2017,"Lagos, Nigeria",,": I want everyone to understand that the struggle is not between political parties, race or religion, but the struggl"
Sun Dec 17 00:50:16 +0000 2017,"Flossmoor, IL",,I was also Team Gabe for Hunger Games and that wish got destroyed too
Sun Dec 17 00:50:20 +0000 2017,North West,,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:50:20 +0000 2017,Denmark,,: Poor Jessie didnt stand a chance agaisnt
Sun Dec 17 00:50:21 +0000 2017,United States,,"Man of God pls pray for me I want God to change my story. Am a soldier in kano, every body know me as a poor man. N"
Sun Dec 17 00:50:22 +0000 2017,"Florida, USA",Australia,": : Therell never be Sharia law in Australia, you bigots. Youre all just paranoid racists. Theyre just poor r"
Sun Dec 17 00:50:22 +0000 2017,Somewhere In Neverland,,": rich kids are learning what it means to struggle for the first time in their lives, poor kids have had to struggle for thei"
Sun Dec 17 00:50:23 +0000 2017,"Honolulu, Hawaii",,"Today's letters to the editor: ""Poor doors plan discriminatory,"" ""Taayers pay to settle claims,"" ""Tax plan won"
Sun Dec 17 00:50:23 +0000 2017,The Dry Continent,,"Today seems to be day to appreciate good design and conversely curse at poor design. ) jerrycans that seal, ) Im being bitten alive by /1"
Sun Dec 17 00:50:24 +0000 2017,"Colorado, USA",,"The Bill of Rights, hell, the Constitution is a barrier to everything you perverts want. You have hurt u"
Sun Dec 17 00:50:25 +0000 2017,"Kota Surabaya, Jawa Timur",,: Oops I think I left poor Shizune all tied up in the basement last night I must of forgot her
Sun Dec 17 00:50:25 +0000 2017,"Princeton, NJ",,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:50:25 +0000 2017,Watford,,"Another typical Watford FC day, strongly impacted by bad referee and linesman decisions - s"
Sun Dec 17 00:50:26 +0000 2017,Last true bastion of Freedom,,": As promised, the latest article is here! The Civilian Marksmanship Program to Poor People: No Pistols for You"
Sun Dec 17 00:50:28 +0000 2017,081217,,"k pesos,,, for b21 merch,,,,,,, what the fuck i hate being poor"
Sun Dec 17 00:50:30 +0000 2017,"Polokwane, South Africa",,: South African celebrities: Support local!! Also South African celebrities: HAHAHAHAHA! You're all so poor euw
Sun Dec 17 00:50:30 +0000 2017,WORKING HARD TO MEDITATE ON EVERY DECISION I TAKE,,": The city's poor had been invited to enjoy a charitable Christmas breakfast inside what locals called ""Islam Church"". https:/"
Sun Dec 17 00:50:31 +0000 2017,"Oklahoma, USA",,get richer w/ their while taking from middle class & poor. 1
Sun Dec 17 00:50:32 +0000 2017,Free State Liberated Zone,,Poor butthurt Try harder and Vlad will use the lube next time
Sun Dec 17 00:50:33 +0000 2017,"Nashville, TN",,: US soccer doesnt invest meaningful resources into poor communities or communities of color & thus the sport contin
Sun Dec 17 00:50:34 +0000 2017,#HandsOffOurConstitution,,They are slow learners..hopeless bunch of poor looser's
Sun Dec 17 00:50:36 +0000 2017,Vancouver,,: US soccer doesnt invest meaningful resources into poor communities or communities of color & thus the sport contin
Sun Dec 17 00:50:36 +0000 2017,Portland Dorset ,,: Bravo . I recognise eeriences from my own childhood. Giro day was great but cash didnt last long
Sun Dec 17 00:50:36 +0000 2017,"Orlando, FL",,"Forgive the poor quality, but here's hanging out with some Porgs"
Sun Dec 17 00:50:38 +0000 2017,London/Paris/Minneapolis,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:50:39 +0000 2017,htx,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:50:39 +0000 2017,"Taal, Bocaue, Bulacan",,: HAHAHA poor dog
Sun Dec 17 00:50:39 +0000 2017,United States,,: Simple answer. Rahm Emanuel is a fascist. His goal is to eliminate the poor black community. He is usi
Sun Dec 17 00:50:40 +0000 2017,East Coast,,Poor baby
Sun Dec 17 00:50:41 +0000 2017,"St. John's, Newfoundland",Newfoundland,"Road conditions on the eastern half of Newfoundland are currently dangerous, they are snow covered with poor visibi"
Sun Dec 17 00:50:42 +0000 2017,Helvete,,Dark Fortress Radio: Now Playing Nordjevel - The Shadows Of Morbid Hunger TuneIn Player 9u
Sun Dec 17 00:50:43 +0000 2017,"New York, NY",,I feel like most Americans dont know that the % is anyone with a networth of only k+.... Like thats how poor most of America is
Sun Dec 17 00:50:44 +0000 2017,Seattle,,": Since Dr. King's Poor People's Campaign, U.S Census reports that the number of Americans below the official po"
Sun Dec 17 00:50:44 +0000 2017,"Louisville, Ky.",,Apparently he got his Christmas gifts late as a child. Poor kid.
Sun Dec 17 00:50:44 +0000 2017,Sam's Town,,P!nk did that! Poor Taylor
Sun Dec 17 00:50:48 +0000 2017,twitter,,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:50:49 +0000 2017,"Ontario, Canada",,Holy crap!!!! Poor lil doggie. Tough dog tho even at age ..he fought back and saved himself
Sun Dec 17 00:50:50 +0000 2017,The In-Between,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:50:53 +0000 2017,"Toronto, Ontario",,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:50:54 +0000 2017,"Maine, USA",,"Christian World News: Prophecy Revealed by God?, Serving the Poor and a ... via"
Sun Dec 17 00:50:58 +0000 2017,"Scottsdale, AZ",,"Jesus Fucking Christ. People that have more money than I'll ever have are asking me, a poor person, for more money"
Sun Dec 17 00:51:00 +0000 2017,"Elizabeth, NJ",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:51:00 +0000 2017,Sarf Londonistan,Australia,": : Therell never be Sharia law in Australia, you bigots. Youre all just paranoid racists. Theyre just poor r"
Sun Dec 17 00:51:02 +0000 2017,Ireland,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
